Activity Name;Activity Name;Unit ;Emmision (kgCO2e);kgCO2;kgCH4;kgN2O;Assesment Report;Scope;Life Cylce Assesment;Validity Year;Validity Region
Europe (North & Med) to- from Oceania (via Suez / via Panama) - Container ship (dry);Transport/Sea Freight;TEU-km;22.2817190941035;4.2351990053103;0.668389632918267;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Rigid truck 3.5-7.5t - Average/mixed load - Diesel;Transport/Road Freight;tonne-km;29.7457184624098;3.08544478522706;0.987417543599361;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Container ship - reefer (refrigerated);Transport/Sea Freight;TEU-km;6.74503180188009;3.09647927636773;0.135131575018976;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Freight logistics - transshipment - mixed;Transport/Transport Services and Warehousing;tonne;34.6848503311002;8.82926250797716;0.957614363819373;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Asia to-from North America WC - Container ship - reefer (refrigerated);Transport/Sea Freight;TEU-km;13.8500784546978;7.34732365218852;0.240842770463307;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Air freight (<1500 km) - freighter - RP1678;Transport/Air Freight;tonne-km;35.5141774091581;8.98998826247189;0.982377375803192;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Asia to-from Africa - Container ship - reefer (refrigerated);Transport/Sea Freight;TEU-km;22.1627803709086;0.758479374504432;0.79275188875571;not-supplied;AR6;2;use;2023;GLOBAL
Rigid truck 7.5-12t - Average/mixed load - Diesel;Transport/Road Freight;tonne-km;16.4928622224284;2.28437980058178;0.526240089698024;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Rail freight (electric traction) - trailer only on train - distribution losses;Transport/Rail Freight;tonne-km;29.3302629624894;8.68203281211147;0.764749264828813;not-supplied;AR6;2;electricity_t&d;2023;GLOBAL
North America EC/Gulf/WC to-from Middle East/India - Container ship - reefer (refrigerated);Transport/Sea Freight;TEU-km;10.5352439551585;1.34957779539443;0.34020985776904;not-supplied;AR6;2;use;2023;GLOBAL
Road freight - Specialized;Transport/Road Freight;tonne-km;26.3481127964411;6.60839387213221;0.731100700900329;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
General cargo 10000-19999 dwt - VLSFO;Transport/Sea Freight;tonne-km;26.5764585482351;1.7444376576366;0.919704477429574;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Ro-Ro 5000-9999 dwkt - VLSFO;Transport/Sea Freight;tonne-km;4.08918130075482;1.34576629701053;0.10160796310164;not-supplied;AR6;2;use;2023;GLOBAL
Oil tanker 20000-59999 dwt - HFO;Transport/Sea Freight;tonne-km;16.7017386955468;9.44708399677561;0.268690914769303;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Bulk carrier 60000-99999 dwt - VLSFO;Transport/Sea Freight;tonne-km;17.8332687268637;2.23150842289884;0.577842974220921;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Ro-Ro 10000-14999 dwt - HFO;Transport/Sea Freight;tonne-km;28.0242774515385;1.70890794392991;0.974643315096616;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
E;Transport/Sea Freight;TEU-km;13.1788026125631;0.878151867644303;0.455579657219213;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Other liquids tankers <999 dwt - MDO;Transport/Sea Freight;tonne-km;30.9884327906117;4.01065958138496;0.999176785526915;not-supplied;AR6;2;use;2023;GLOBAL
Other liquids tankers >1000 dwt - VLSFO;Transport/Sea Freight;tonne-km;11.6887533058647;0.0871636140359378;0.42968850710477;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Europe (North & Med) to- from Africa - Container ship - reefer (refrigerated);Transport/Sea Freight;TEU-km;10.8645267481034;7.14507085616342;0.137757625627405;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Intra Mediterranean/ Black Sea - Container ship - reefer (refrigerated);Transport/Sea Freight;TEU-km;28.7473760992818;3.69825377125542;0.927745271408383;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Articulated truck 60-72t - Container - Diesel;Transport/Road Freight;tonne-km;24.4558076662877;0.189864971404288;0.898738618329014;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Articulated truck <40t SI engine - Container transport - LNG;Transport/Road Freight;tonne-km;11.7792341748938;9.43024364764563;0.0869996491573414;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Intra Middle East/India - Container ship - reefer (refrigerated);Transport/Sea Freight;TEU-km;26.7782239104;7.49802000168185;0.714081626248821;not-supplied;AR6;2;use;2023;GLOBAL
Liquefied gas tanker <49999 cbm - VLSFO;Transport/Sea Freight;tonne-km;35.1100719941212;8.87738845752663;0.971580871725723;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Articulated truck 44-60t - Container - Diesel;Transport/Road Freight;tonne-km;12.3913268051585;2.07183912645707;0.382203247359314;not-supplied;AR6;2;use;2023;GLOBAL
Road freight - LTL/Dry Van;Transport/Road Freight;tonne-km;24.6623768235408;0.35977505554136;0.900096361777758;not-supplied;AR6;2;use;2023;GLOBAL
Oil tanker 10000-19999 dwt - MDO;Transport/Sea Freight;tonne-km;12.1194519990254;4.52619411496864;0.281231773483584;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Articulated truck <34t - Average/mixed load - Diesel;Transport/Road Freight;tonne-km;28.8282022802059;4.06551686364173;0.917136496909785;not-supplied;AR6;2;use;2023;GLOBAL
North Europe to-from North America WC - Container ship - reefer (refrigerated);Transport/Sea Freight;TEU-km;16.2220958326423;4.20549342433147;0.445059348455956;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
