Activity Name;Unit ;kgCO2e;kgCO2;kgCH4;kgN2O;Assesment Report;Scope;LCA;Sector;Category;Year Valid From;Region
Motor vehicle brakes and brake systems;cad;81.8233610534074;3.44822865310241;2.90277363588183;0.000000976925982885818;AR4;Unknown;primary_production-transport-manufacturing;materials and manufacturing;Vehicle Parts;2020;US-MN
Flour and other grain mill products;cad;112.452370087334;2.42415093294692;4.07504635481284;0.00000787029775922214;AR4;Unknown;primary_production-transport-manufacturing;consumer goods and services;Food/Beverages/Tobacco;2020;US-MN
Boats and personal watercraft;cad;32.3612754368602;9.02136929593131;0.864372920897015;0.00000734910683817262;AR4;Unknown;primary_production-transport-manufacturing;transport;Vehicles;2020;US-NJ
Marine fuel oil;tonne;6.05845220712262;6.05709269835494;0;0.00000543803507071201;AR4;Unknown;use;energy;Fuel;2022;US-NY
Eggs cardboard box;kg;100.819764059153;2.66327447897246;3.63538423199791;0.00000446126494914705;AR4;Unknown;primary_production-transport;consumer goods and services;Food/Beverages/Tobacco;2022;US-CA
Paper waste for treatment: incineration;eur;75.9187442536617;9.87658704690372;2.4459761357489;0.00000320616615066681;AR4;Unknown;unknown;waste;Waste Management;2019;US-CA
Aluminium - alloys - hollow profiles;kg;129.73122726548;0.017600161710255;4.80420721034225;0.000000129698116903308;AR4;Unknown;manufacturing;materials and manufacturing;Metals;2023;US-NJ
Grey clinker;kg;7.40033426893155;7.39957076148498;0;0.00000305402978628653;AR4;Unknown;manufacturing;materials and manufacturing;Building Materials;2023;US-CA
GCP - Embodied emissions - c2-standard-60 - Cascade Lake;instance-hour;36.1185700250865;8.60331897372579;1.01901288819803;0.00000761228005590687;AR4;Unknown;primary_production-transport-manufacturing-end_of_life;information and communication;Cloud Computing - CPU;2021;US-CA
Biogasoline;eur;120.010328172458;9.11092171644479;4.1073351171065;0.00000543317655075727;AR4;Unknown;unknown;energy;Fuel;2019;US-NY
Gasoline passenger cars (1983 models);mile;50.4809151825987;8.79103185547919;1.54405277899959;0.00000183317652201007;AR4;Unknown;use;transport;Vehicles;2022;US-TX
Stainless steel - flat-rolled <600mm hot-rolled;kg;18.6167735153174;2.72399145509504;0.588557964516738;0.00000686807308166937;AR4;Unknown;manufacturing;materials and manufacturing;Metals;2023;US-NJ
Vegetables / fruits / nuts;eur;104.622067187274;9.52510778127183;3.52202688749885;0.0000089337741349491;AR4;Unknown;unknown;agriculture/hunting/forestry/fishing;Arable Farming;2019;US-MN
Other social services;nzd;53.2851746090061;0.285434351408278;1.9628714728149;0.00000884196638156451;AR4;Unknown;unknown;health and social care;Social Care;2019;US-NY
Distribution and trade of electricity (services);eur;105.01987946852;7.61152869836631;3.60770032220285;0.00000176828270502404;AR4;Unknown;unknown;energy;Energy Services;2019;US-MN
Food waste for treatment: composting and land application;eur;75.8605715907681;7.78127849621488;2.52142210433485;0.00000358511004927701;AR4;Unknown;unknown;waste;Waste Management;2019;US-NY
Translation and interpretation services;usd;37.5702120707602;1.94684193847496;1.3193471764205;0.00000398547572724568;AR4;Unknown;primary_production-transport-manufacturing;organizational activities;Professional Services and Activities;2019;US-NJ
Household residual waste disposal (composting);tonne;107.382896726418;2.78778325462176;3.87383974235518;0.00000576171282439741;AR4;Unknown;end_of_life;waste;General Waste;2021;US-MN
Rubber and plastic products;eur;108.939405205203;8.23170315799302;3.72985948937087;0.00000598333678716646;AR4;Unknown;unknown;materials and manufacturing;Plastics and Rubber Products;2019;US-CA
Hogs;cad;8.11692114508724;8.11544402322343;0;0.00000590848745525541;AR4;Unknown;primary_production-transport-manufacturing;agriculture/hunting/forestry/fishing;Livestock Farming;2020;US-MN
Electricity supplied from nuclear power plant;kwh;8.90574010970376;8.90431478535839;0;0.00000570129738148156;AR4;Unknown;primary_production-transport-use;energy;Electricity;2015;US-CA
